826|2|6,11|1|6,16|неясно
827|2|6,11|1,3|6,13|что натворил
828|2|6,11|1,4|6,14|невероятно
829|2|6,11|1,5|6,11,14|не спеши
830|2|6,11|1,6|6,11|не нервничай
831|2|6,11|1,7|4,6,7,14|пошалим
832|2|6,11|1,8|4,6,50|смотри
833|2|6,11|1,9|6,9|постой
834|2|6,11|1,10|1,16|получи
835|2|6,11|1,11|6,13,14|круто
836|2|6,11|1,12|1,11|замучил
837|2|6,11|1,13|6,13|офигеть
838|2|6,11|1,14|11,14|ух ты
839|2|6,11|1,15|1,13|ой
840|2|6,11|1,16|13,16|погоди
841|2|6,11|1,17|11,13,14|не болей
842|2|6,11|2|6,14|понятно
843|2|6,11|2,3|1,16|получай
844|2|6,11|2,4|4,6,13|правильно
845|2|6,11|2,5|4,6,14|ешь
846|2|6,11|2,6|6,14|ничего
847|2|6,11|2,7|7,9,13|развеемся
848|2|6,11|2,8|9,13|освой
849|2|6,11|2,9|9|неважно
850|2|6,11|2,10|1,13,16|вот тебе
851|2|6,11|2,11|4,13,14|хороший
852|2|6,11|2,12|1,11|так и знал
853|2|6,11|2,13|11,13|классно
854|2|6,11|2,14|11,14|чудесно
855|2|6,11|2,15|1,11|страшно
856|2|6,11|2,16|11,16|да ладно
857|2|6,11|2,17|11,13,14|исцелил
858|2|6,11|3|16|пофиг
859|2|6,11|3,5|14,16|ешь давай
860|2|6,11|3,6|13,16|чтобы неповадно было
861|2|6,11|3,7|9,13,16|играй давай
862|2|6,11|3,8|9,14,16|учи давай
863|2|6,11|3,9|9,16|пошел
864|2|6,11|3,10|12,16|накажу
865|2|6,11|3,12|1,16|накажу ведь
866|2|6,11|3,13|1,13,16|дурак
867|2|6,11|3,14|1,14,16|негодник
868|2|6,11|3,15|13,16|больно?
869|2|6,11|3,16|13,16|пройдет
870|2|6,11|3,17|14,16|на пользу
871|2|6,11|4|13|молодец
872|2|6,11|4,5|13,14|заслужил
873|2|6,11|4,9|9,13|ну и хорошо
874|2|6,11|4,10|1,16|доигрался
875|2|6,11|4,12|1,13|ну прости
876|2|6,11|4,14|13|замечательно
877|2|6,11|4,15|11,14|ты даешь
878|2|6,11|4,17|13,14|будь здоров
879|2|6,11|5|14|кушай
880|2|6,11|5,6|6,14|ешь спокойно
881|2|6,11|5,7|7,9,13|потом поиграем
882|2|6,11|5,8|9,13|потом поучимся
883|2|6,11|5,9|9|не поперхнись
884|2|6,11|5,11|11,13|самое вкусное
885|2|6,11|5,13|13,14|жри
886|2|6,11|5,14|13,14|наелся
887|2|6,11|5,16|11,16|ладно, ешь
888|2|6,11|5,17|11,13,14|поправляйся
889|2|6,11|6|6|успокойся
890|2|6,11|6,7|6,7|отвлечемся
891|2|6,11|6,8|6|поучимся
892|2|6,11|6,9|9|тихо
893|2|6,11|6,11|6,11|все хорошо
894|2|6,11|6,13|6,13|не паникуй
895|2|6,11|6,14|6,14|все чудесно
896|2|6,11|6,16|6,16|расслабься
897|2|6,11|6,17|6,11,14|будешь жить
898|2|6,11|7|7|поиграем
899|2|6,11|7,8|7|попробуй повторить
900|2|6,11|7,10|7,16|подеремся
901|2|6,11|7,11|7,11|непобедимый
902|2|6,11|7,12|1,11|это слишком
903|2|6,11|7,13|7,9,13|побесимся
904|2|6,11|7,14|7,9,14|давай играть
905|2|6,11|7,15|1,13|осторожнее
906|2|6,11|7,16|7,11,16|лучше поиграем
907|2|6,11|7,17|7,11,13,14|можешь играть
908|2|6,11|8|9|учи
909|2|6,11|8,11|9,11|гениально
910|2|6,11|8,12|1,11|бестолочь
911|2|6,11|8,13|9,13|все узнаешь
912|2|6,11|8,14|9,14|научу
913|2|6,11|8,15|1,13|опасно
914|2|6,11|8,16|13,16|лучше поучимся
915|2|6,11|8,17|13,14|лечись
916|2|6,11|9|9|все равно
917|2|6,11|9,10|9,16|плевать
918|2|6,11|9,12|1,16|надоел
919|2|6,11|9,13|9,13|отвали
920|2|6,11|9,14|9,14|не лезь
921|2|6,11|9,15|13|ну нафиг
922|2|6,11|9,16|16|бывает
923|2|6,11|9,17|13,14|живи
924|2|6,11|10|16|поделом
925|2|6,11|10,12|12,16|изверг
926|2|6,11|10,13|1,13,16|получил
927|2|6,11|10,14|1,14,16|так тебе и надо
928|2|6,11|10,15|12,16|нечаянно
929|2|6,11|10,16|12,16|прикалываюсь
930|2|6,11|10,17|12,14|потерпи
931|2|6,11|11|11|ты хороший
932|2|6,11|11,12|1,11|чертовски хорошо
933|2|6,11|11,13|11,13|не дурно
934|2|6,11|11,14|11,14|ты классный
935|2|6,11|11,15|1,11|слишком хорошо
936|2|6,11|11,16|11,16|ну ничего
937|2|6,11|11,17|11,13,14|хорошо выглядишь
938|2|6,11|12|9,11|плачу
939|2|6,11|12,15|1,11|тошно
940|2|6,11|12,16|9,16|не сердись
941|2|6,11|12,17|9,13|пронесло
942|2|6,11|13|13|смешно
943|2|6,11|13,14|13,14|чудненько
944|2|6,11|13,15|1,13|фыркнул
945|2|6,11|13,16|13,16|усмехнулся
946|2|6,11|13,17|13,14|как новенький
947|2|6,11|14|14|радуюсь
948|2|6,11|14,15|1,13|прикольно
949|2|6,11|14,16|14,16|утешился
950|2|6,11|14,17|13,14|оживил
951|2|6,11|15|13|боюсь
952|2|6,11|15,16|13,16|отходил
953|2|6,11|15,17|13,14|ух пронесло
954|2|6,11|16|16|прощаю
955|2|6,11|17|13,14|вылечил
968|2|6,11|16,17|14,16|на здоровье
